Normalized	Original	Bamfile	Location	Source	Subplate	Size (GB)	Type
3C-629-3-1	3C-629-3-1	3C-629-3-1.bam	/projects/gleeson-storage2/escott/aligned/3C-629-3-1.bam	PlateIV	PlateIV_2	13.37	Exome
AAS-173-III-1-9	AAS-173-III-1-9	AAS-173-III-1-9.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/AAS-173-III-19.bam	PlateII	PlateII	17	Exome
AAS-173-IV-2-8	AAS-173-IV-2-8	AAS-173-IV-2-8.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/AAS-173-IV-28.bam	PlateII	PlateII	4.54	Exome
AAS-258-5-3	AAS-258-5-3	AAS-258-5-3.bam	/projects/gleeson-storage2/escott/aligned/AAS-258-V3.bam	PlateIV	PlateIV_3	14.32	Exome
AAS-258-5-4	AAS-258-5-4	AAS-258-5-4.bam	/projects/gleeson-storage2/escott/aligned/AAS-258-V4.bam	PlateIV	PlateIV_0	10.11	Exome
AAS-341-3-4	AAS-341-3-4	AAS-341-3-4.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/AAS-341-3-4.bam	PlateI	PlateI	26.72	Exome
AAS-341-3-5	AAS-341-3-5	AAS-341-3-5.bam	/projects/gleeson-storage2/escott/aligned/AAS-341-3-5.bam	PlateIV	PlateIV_1	6.87	Exome
ACC-1095-I-4-1	ACC-1095-I-4-1	ACC-1095-I-4-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1095-I-4-1.bam	PlateIV	PlateIV_0	10.31	Exome
ACC-1095-II-4-1	ACC-1095-II-4-1	ACC-1095-II-4-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1095-II-4-1.bam	PlateIV	PlateIV_0	11.44	Exome
ACC-1371-4-1	ACC-1371-4-1_wex1	ACC-1371-4-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/ACC-1371-4-1_wex1.bam	PlateIII	PlateIII	11.21	Exome
ACC-1371-4-2	ACC-1371-4-2	ACC-1371-4-2.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/ACC-1371-4-2.bam	PlateI	PlateI	27.36	Exome
ACC-1553-4-1	ACC-1553-4-1	ACC-1553-4-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1553-4-1.bam	PlateIV	PlateIV_1	7.09	Exome
ACC-1553-4-3	ACC-1553-4-3	ACC-1553-4-3.bam	/projects/gleeson-storage2/escott/aligned/ACC-1553-4-3.bam	PlateIV	PlateIV_1	7.11	Exome
